нож veitsi
меч miekka
коготь kynsi
сабля sapeli
лезвие terä
коса viikate
ножницы sakset
пила saha
иголка neula
стрела nuoli
кол seiväs
спица neula
палка keppi
копье keihäs
зуб hammas
ноготь kynsi
рог sarvi
нос nenä
угол kulma
гора vuori
локоть kyynärpä
клюв nokka 
колпак hattu 
подбородок leuka 
каблук korko 
мачта masto 
шип piikki 
одеяло peitto 
щетина sänki 
шерсть villa 
куст pensas 
свитер villapusero 
поворот kaarre 
изгиб kaarre 
подъём nousu 
склон rinne 
берег ranta 
гора vuori 
линия linja 
фотография valokuvaus 
контраст kontrasti 
картинка kuva 
очки silmälasit 
человек ihminen 
ум järki 
взгляд kanta 
наблюдатель tarkkailija 
голова pää 
журналист journalisti 
слово sana 
язык kieli 
высказывание lausuma 
критик kriitikko 
замечание huomautus 
критика kritiikki 
статья artikkeli 
анекдот kasku 
реакция reaktio 
брань herjaus 
ответ vastaus 
закон laki 
правитель hallitsija 
распорядок järjestys 
наказание rangaistus 
диета dieetti 
ребенок baby 
исследование tutkimus 
работа työ
соус kastike 
вкус maku 
перец pippuri 
напиток juoma 
вода vesi 
звук ääni 
визг vingahdus 
голос ääni 
лай haukku 
храп kuorsaus 
свет valo 
вспышка puhkeaminen 
блеск loiste 
вонь löyhkä 
запах haju 
нота nuotti 
цвет väri 
оттенок sävy 
аромат tuoksu 
солнце aurinko 
слух huhu 
зрение näky
уши korva 
нюх hajuaisti 
нос nenä 
ощущение tunne 
осознание tietoisuus 
желание halu 
ревность mustasukkaisuus 
зависть kateus 
обида pahastuminen 
стремление pyrkimys 
мороз pakkanen 
ветер tuuli 
холод kylmä 
жара helle 
проблема ongelma 
нехватка puute 
вопрос kysymys 
боль kipu 
жажда jano 
дрожь tutina 
слабость heikkous 
воспаление tulehdus 
грипп influenssa 
заболевание sairaus 
расстройство häiriö
аппендицит umpilisäkkeen tulehdus 
момент hetki 
сопротивление vastarinta 
спор riita 
перепалка riita 
любопытство uteliaisuus 
наблюдательность havaintokyky 
гордость ylpeys 
спад laskusuhdanne 
взмах heilautus 
вздох huokaus 
движение liikenne 
бросок heitto 
скачок hyppy 
темп tahti 
бег hölkkä 
