лист b'lehti'
слой b'kerros'
ткань b'kangas'
книга b'kirja'
стена b'sein\xc3\xa4'
столб b'pylv\xc3\xa4s'
ствол b'runko'
ветка b'oksa'
палка b'keppi'
веревка b'k\xc3\xb6ysi'
волосы b'tukka'
дудка b'huilu'
песок b'hiekka'
туман b'sumu'
дождь b'sade'
каша b'puuro'
лес b'mets\xc3\xa4'
человек b'ihminen'
рука b'k\xc3\xa4si'
нога b'jalka'
палец b'sormi'
полоска b'juova'
доска b'lauta'
дорога b'tie'
окно b'ikkuna'
поле b'pelto'
горлышко b'kaula'
коридор b'k\xc3\xa4yt\xc3\xa4v\xc3\xa4'
улица b'katu'
труба b'putki'
юбка b'hame'
туфли Нет перевода
комната b'huone'
кровать b'vuode'
